VMUE	VMSS
24.66	21.94
22.56	18.47
21.83	19.60
22.85	25.74
17.30	30.43
19.53	32.73
20.45	35.34
26.03	42.90
21.51	40.01
34.60	41.51
35.00	42.89
35.54	43.72
46.66	45.76
38.01	33.24
36.84	33.76
47.14	31.09
39.56	42.19
31.80	38.99
50.93	39.76
73.35	41.35
71.56	52.08
83.25	50.43
94.40	46.83
94.05	63.87
94.81	73.44
94.46	76.13
76.66	71.93
54.35	59.72
48.84	47.86
48.30	26.38
43.26	25.10
38.84	21.74
34.31	28.05
33.33	35.06
30.50	33.98
33.46	31.11
35.56	31.10
34.66	28.56
26.23	22.32
24.16	20.73
25.10	23.73
24.29	19.19
21.53	21.14
20.21	23.97
17.18	27.23
14.68	27.10
18.53	26.99
23.35	28.62
11.86	25.36
12.95	22.30
10.06	22.14
19.00	22.87
17.30	27.66
17.99	37.46
17.06	39.49
27.33	48.50
32.91	56.37
36.56	58.15
29.45	60.57
30.58	61.27
33.46	63.58
32.50	62.10
33.81	61.90
40.00	61.79
46.58	52.48
50.53	60.72
54.93	79.75
51.26	100.50
48.05	110.44
50.63	103.30
58.38	117.07
58.78	117.50
62.14	116.23
54.80	87.84
45.64	73.22
55.74	63.46
55.11	71.18
55.59	67.88
48.89	62.42
48.96	51.35
54.05	47.58
51.74	37.70
50.93	32.34
45.81	34.56
47.81	35.31
41.73	38.55
43.61	30.50
41.54	25.05
35.85	8.17
31.61	6.37
34.48	9.04
31.64	14.36
35.09	6.97
29.18	7.68
26.76	12.27
32.59	10.61
34.74	11.07
29.80	12.80
25.64	19.06
29.21	19.17
28.53	26.77
28.90	32.42
